rank,cluster_id,violation_count,center_lat,center_lon,top_violation_types,matched_junction,police_stations
130,637,189,12.999295292063493,77.62483215714286,"{'NO PARKING': 185, 'WRONG PARKING': 5, 'PARKING IN A MAIN ROAD': 2}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
131,215,186,12.910514513978493,77.64454544569892,"{'NO PARKING': 131, 'WRONG PARKING': 55, 'DEFECTIVE NUMBER PLATE': 12}",UNCATALOGUED (no official junction tag),['HSR Layout']
132,124,186,12.938252227741936,77.57691800784946,"{'WRONG PARKING': 101, 'NO PARKING': 85, 'PARKING IN A MAIN ROAD': 2}",BTP216 - Yediyur Junction,"['Basavanagudi', 'Jayanagara']"
133,126,185,13.015337775513514,77.55520896,"{'NO PARKING': 168, 'PARKING IN A MAIN ROAD': 127, 'WRONG PARKING': 24}",UNCATALOGUED (no official junction tag),"['Malleshwaram', 'Yeshwanthpura']"
134,231,183,12.917346628961747,77.57822161420764,"{'NO PARKING': 127, 'WRONG PARKING': 60, 'PARKING IN A MAIN ROAD': 18}","BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar","['J.P. Nagar', 'Jayanagara']"
135,52,181,13.05095150607735,77.55268120497237,"{'NO PARKING': 161, 'WRONG PARKING': 76, 'PARKING IN A MAIN ROAD': 34}",UNCATALOGUED (no official junction tag),['Jalahalli']
136,440,178,12.925775734831461,77.63367533764045,"{'NO PARKING': 164, 'WRONG PARKING': 34, 'PARKING IN A MAIN ROAD': 18}",UNCATALOGUED (no official junction tag),"['Adugodi', 'Madiwala']"
137,533,177,13.09965320960452,77.58866427062148,"{'NO PARKING': 166, 'WRONG PARKING': 11, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['Yelahanka']
138,476,177,13.00740447175141,77.57926807514124,"{'NO PARKING': 151, 'PARKING IN A MAIN ROAD': 30, 'WRONG PARKING': 27}",UNCATALOGUED (no official junction tag),['Sadashivanagar']
139,400,176,12.894746846590909,77.5991033403409,"{'NO PARKING': 175, 'DEFECTIVE NUMBER PLATE': 5, 'WRONG PARKING': 1}",UNCATALOGUED (no official junction tag),"['J.P. Nagar', 'Mico Layout']"
140,537,176,12.987006440568182,77.51923263857954,"{'NO PARKING': 147, 'WRONG PARKING': 29, 'DEFECTIVE NUMBER PLATE': 10}",UNCATALOGUED (no official junction tag),['Kamakshipalya']
141,142,173,12.948071520231217,77.5799655300578,"{'NO PARKING': 107, 'WRONG PARKING': 67, 'DEFECTIVE NUMBER PLATE': 3}",BTP184 - Lalbagh West Gate,"['Basavanagudi', 'City Market', 'V.V.Puram (C.Pet)', 'Wilson Garden']"
142,137,173,12.896647204046241,77.72005516300578,"{'WRONG PARKING': 131, 'NO PARKING': 47, 'DEFECTIVE NUMBER PLATE': 10}",UNCATALOGUED (no official junction tag),['Whitefield']
143,252,170,12.917206235882352,77.65172315058825,"{'WRONG PARKING': 98, 'NO PARKING': 72, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['HSR Layout']
144,438,170,12.998006971764706,77.58151439588235,"{'NO PARKING': 166, 'WRONG PARKING': 4, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),"['Sadashivanagar', 'Sheshadripuram']"
145,648,166,13.058397916867472,77.59310194,"{'WRONG PARKING': 92, 'NO PARKING': 74, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),"['Hebbala', 'Kodigehalli']"
146,527,165,13.053921567272727,77.59274640848486,"{'WRONG PARKING': 129, 'NO PARKING': 36, 'DEFECTIVE NUMBER PLATE': 10}",UNCATALOGUED (no official junction tag),['Kodigehalli']
147,327,163,12.98086868791411,77.58823170122699,"{'NO PARKING': 130, 'WRONG PARKING': 33, 'PARKING IN A MAIN ROAD': 5}",BTP052 - CID Carlton House Junction,['Cubbon Park']
148,366,155,13.047104498709679,77.50100040129031,"{'WRONG PARKING': 126, 'NO PARKING': 32, 'DEFECTIVE NUMBER PLATE': 23}",UNCATALOGUED (no official junction tag),"['Chikkabanavara', 'Peenya']"
149,309,151,12.931644549006622,77.58604522384105,"{'NO PARKING': 123, 'WRONG PARKING': 28, 'PARKING IN A MAIN ROAD': 2}",BTP219 - Canara Bank Junction,['Jayanagara']
150,265,150,13.022494338266666,77.63795992186667,"{'WRONG PARKING': 141, 'NO PARKING': 9, 'DEFECTIVE NUMBER PLATE': 6}",UNCATALOGUED (no official junction tag),['Banaswadi']
151,80,148,13.022149154054054,77.53257275000001,"{'NO PARKING': 75, 'WRONG PARKING': 73, 'PARKING IN A MAIN ROAD': 19}",UNCATALOGUED (no official junction tag),"['Rajajinagar', 'Yeshwanthpura']"
152,262,147,12.948959991156462,77.59766687891157,"{'WRONG PARKING': 86, 'NO PARKING': 61, 'DEFECTIVE NUMBER PLATE': 1}","BTP123 - 10th Cross, Wilson Garden",['Wilson Garden']
153,281,146,13.00346237260274,77.72349733904109,"{'PARKING IN A MAIN ROAD': 146, 'WRONG PARKING': 146}",UNCATALOGUED (no official junction tag),"['K.R. Pura', 'Mahadevapura']"
154,234,144,13.058307752013889,77.59150355458334,"{'WRONG PARKING': 106, 'NO PARKING': 38, 'PARKING NEAR ROAD CROSSING': 6}",UNCATALOGUED (no official junction tag),['Kodigehalli']
155,238,140,12.936554877857143,77.60590555357143,"{'NO PARKING': 103, 'PARKING IN A MAIN ROAD': 40, 'WRONG PARKING': 37}",BTP126 - Dairy Circle,"['Adugodi', 'Mico Layout']"
156,362,139,12.903665782517985,77.70421453251798,"{'WRONG PARKING': 109, 'NO PARKING': 30}",UNCATALOGUED (no official junction tag),['Bellandur']
157,184,138,12.97043958405797,77.5921096115942,"{'NO PARKING': 126, 'WRONG PARKING': 12}",BTP063 - Siddalingaiah Circle,"['Cubbon Park', 'Halasuru Gate']"
158,585,136,12.960440448529411,77.5585219382353,"{'NO PARKING': 100, 'WRONG PARKING': 45, 'PARKING IN A MAIN ROAD': 30}",BTP091 - Sirsi Circle,"['Chamarajpet', 'Magadi Road']"
159,709,134,12.96294241880597,77.73296449955225,"{'NO PARKING': 131, 'PARKING IN A MAIN ROAD': 65, 'WRONG PARKING': 23}",UNCATALOGUED (no official junction tag),['Whitefield']
160,275,134,12.880742378656716,77.64509828171641,"{'WRONG PARKING': 134, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),"['Electronic City', 'Hulimavu']"
161,482,134,13.002920557462687,77.5533893761194,"{'WRONG PARKING': 131, 'NO PARKING': 4, 'PARKING ON FOOTPATH': 1}","BTP001 - 10th Cross, Dr. Rajkumar Road",['Malleshwaram']
162,829,133,12.940251574436092,77.57301767593985,"{'NO PARKING': 120, 'WRONG PARKING': 13}",BTP109 - Dewan Madhava Rao Junction,['Basavanagudi']
163,83,132,13.048882537424243,77.49747404371212,"{'PARKING IN A MAIN ROAD': 76, 'WRONG PARKING': 74, 'NO PARKING': 68}",UNCATALOGUED (no official junction tag),"['Chikkabanavara', 'Peenya']"
164,109,132,12.972461727272728,77.62608824393939,"{'NO PARKING': 130, 'WRONG PARKING': 3, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),['Halasur']
165,241,126,12.89771413920635,77.63469597047617,"{'WRONG PARKING': 113, 'NO PARKING': 13, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),"['HSR Layout', 'Madiwala']"
166,639,124,12.991613743548386,77.65240180806451,"{'PARKING IN A MAIN ROAD': 122, 'WRONG PARKING': 78, 'NO PARKING': 52}",UNCATALOGUED (no official junction tag),['Banaswadi']
167,769,122,12.950848792622951,77.52176285737706,"{'NO PARKING': 86, 'PARKING IN A MAIN ROAD': 85, 'WRONG PARKING': 36}",UNCATALOGUED (no official junction tag),['Byatarayanapura']
168,163,122,12.906871463278689,77.54607068877047,"{'WRONG PARKING': 74, 'PARKING IN A MAIN ROAD': 57, 'NO PARKING': 48}",UNCATALOGUED (no official junction tag),['K.S. Layout']
169,636,119,13.017650410924368,77.59167311176469,"{'WRONG PARKING': 106, 'NO PARKING': 13, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['R.T. Nagar']
170,446,117,12.946139755555558,77.58783761709404,"{'NO PARKING': 111, 'WRONG PARKING': 6, 'PARKING ON FOOTPATH': 6}",UNCATALOGUED (no official junction tag),['Wilson Garden']
171,737,116,12.850930541379308,77.65745046896552,"{'WRONG PARKING': 116, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['Electronic City']
172,570,115,12.956826314782608,77.57513721304349,"{'NO PARKING': 66, 'WRONG PARKING': 49}",BTP105 - Shivasankara Circle,['V.V.Puram (C.Pet)']
173,12,114,12.958045902631579,77.56735072192983,"{'NO PARKING': 100, 'WRONG PARKING': 74, 'PARKING IN A MAIN ROAD': 42}",BTP214 - 5th Main Chamrajpet  Junction,['Chamarajpet']
174,308,112,12.971654581250002,77.50761726696429,"{'NO PARKING': 84, 'PARKING IN A MAIN ROAD': 31, 'WRONG PARKING': 30}",UNCATALOGUED (no official junction tag),['Jnanabharathi']
175,336,112,12.966579306249999,77.59914675535715,"{'NO PARKING': 94, 'WRONG PARKING': 18, 'PARKING IN A MAIN ROAD': 6}","BTP099 - Cash Pharmacy, Residency Road","['Ashok Nagar', 'Cubbon Park']"
176,208,111,12.967570030630629,77.5933769837838,"{'NO PARKING': 72, 'WRONG PARKING': 40, 'DOUBLE PARKING': 15}",BTP203 - RRMR Junction,['Halasuru Gate']
177,267,111,12.93720813045045,77.62705847261262,"{'WRONG PARKING': 86, 'NO PARKING': 26, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),['Adugodi']
178,810,108,12.951588227777778,77.60755554074073,"{'NO PARKING': 96, 'WRONG PARKING': 13, 'DOUBLE PARKING': 1}",BTP132 - Anepalya Junction,['Ashok Nagar']
179,129,108,12.920128976574071,77.62097962972223,"{'NO PARKING': 73, 'WRONG PARKING': 36, 'PARKING IN A MAIN ROAD': 27}",BTP137 - Madiwala Traffic PS Junction,['Madiwala']
180,599,108,12.990494953703704,77.61212631018518,"{'NO PARKING': 108, 'DEFECTIVE NUMBER PLATE': 4}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
181,358,106,13.144185790566038,77.61787117924527,"{'NO PARKING': 91, 'WRONG PARKING': 19, 'PARKING NEAR ROAD CROSSING': 4}",UNCATALOGUED (no official junction tag),['Chikkajala']
182,264,106,12.924080788867926,77.67338711396226,"{'WRONG PARKING': 69, 'NO PARKING': 41, 'PARKING IN A MAIN ROAD': 10}",UNCATALOGUED (no official junction tag),['Bellandur']
183,391,106,12.998871171132073,77.68822004811321,"{'NO PARKING': 57, 'WRONG PARKING': 50, 'PARKING IN A MAIN ROAD': 26}",UNCATALOGUED (no official junction tag),['Mahadevapura']
184,205,105,12.967899677904759,77.74960639685713,"{'NO PARKING': 89, 'PARKING IN A MAIN ROAD': 60, 'WRONG PARKING': 33}",UNCATALOGUED (no official junction tag),['Whitefield']
185,182,104,12.935581569230768,77.6081521125,"{'WRONG PARKING': 81, 'PARKING IN A MAIN ROAD': 72, 'NO PARKING': 23}",BTP136 - Hosur-Tavarkere Road Junction,"['Adugodi', 'Mico Layout']"
186,604,103,12.961134299029125,77.58385153495148,"{'NO PARKING': 63, 'WRONG PARKING': 40, 'PARKING IN A MAIN ROAD': 4}","BTP168 - MSR Building, JC Road","['City Market', 'Halasuru Gate']"
187,78,103,13.0717992776699,77.63372988252428,"{'NO PARKING': 72, 'PARKING IN A MAIN ROAD': 41, 'WRONG PARKING': 40}",UNCATALOGUED (no official junction tag),['Hennuru']
188,143,103,12.944947099029125,77.52768452427183,"{'NO PARKING': 70, 'WRONG PARKING': 36, 'PARKING IN A MAIN ROAD': 18}",BTP098 - Nayandahalli Junction,['Byatarayanapura']
189,213,102,12.98542435980392,77.59412131666667,"{'NO PARKING': 84, 'WRONG PARKING': 18, 'DEFECTIVE NUMBER PLATE': 3}",BTP166 - Coffee Board Junction,['Cubbon Park']
190,382,101,12.938286822772278,77.59263077623763,"{'NO PARKING': 95, 'WRONG PARKING': 6}",UNCATALOGUED (no official junction tag),['Wilson Garden']
191,279,101,12.922166783168317,77.58069866831683,"{'NO PARKING': 83, 'WRONG PARKING': 18, 'DEFECTIVE NUMBER PLATE': 5}","BTP190 - 36th Cross, 4th Main, Jayanagar",['Jayanagara']
192,155,100,13.054958116999998,77.507611566,"{'NO PARKING': 82, 'WRONG PARKING': 18, 'DEFECTIVE NUMBER PLATE': 11}",UNCATALOGUED (no official junction tag),['Chikkabanavara']
193,34,100,12.959354696299997,77.6561928929,"{'NO PARKING': 75, 'WRONG PARKING': 50, 'PARKING IN A MAIN ROAD': 29}",UNCATALOGUED (no official junction tag),['Jeevanbheemanagar']
194,242,99,12.916433139393938,77.63823089393941,"{'NO PARKING': 97, 'DEFECTIVE NUMBER PLATE': 9, 'WRONG PARKING': 2}",UNCATALOGUED (no official junction tag),"['HSR Layout', 'Madiwala']"
195,41,98,13.003250236428572,77.75707514673469,"{'NO PARKING': 49, 'WRONG PARKING': 49, 'PARKING IN A MAIN ROAD': 6}",UNCATALOGUED (no official junction tag),['Mahadevapura']
196,190,97,12.92293466670103,77.65150287597938,"{'NO PARKING': 81, 'WRONG PARKING': 16, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),"['Bellandur', 'HSR Layout']"
197,330,97,13.183912350515465,77.68638810515463,"{'WRONG PARKING': 90, 'NO PARKING': 8, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Chikkajala']
198,271,96,12.942236313541665,77.74722788020834,"{'WRONG PARKING': 81, 'PARKING IN A MAIN ROAD': 39, 'NO PARKING': 28}",UNCATALOGUED (no official junction tag),['Whitefield']
199,39,95,12.951809963157894,77.59063152842107,"{'NO PARKING': 80, 'WRONG PARKING': 15, 'PARKING IN A MAIN ROAD': 2}",BTP121 - KH Circle,['Wilson Garden']
200,454,95,12.947635467368421,77.53377643684212,"{'NO PARKING': 80, 'PARKING IN A MAIN ROAD': 52, 'WRONG PARKING': 17}",BTP098 - Nayandahalli Junction,['Byatarayanapura']
201,203,95,12.93206126157895,77.51572294905263,"{'NO PARKING': 92, 'PARKING IN A MAIN ROAD': 26, 'PARKING NEAR ROAD CROSSING': 5}",UNCATALOGUED (no official junction tag),['Kengeri']
202,122,95,13.041888414947366,77.51449364842107,"{'NO PARKING': 74, 'WRONG PARKING': 23, 'PARKING ON FOOTPATH': 11}",UNCATALOGUED (no official junction tag),"['Chikkabanavara', 'Peenya']"
203,282,94,12.989173057446807,77.50784329787234,"{'NO PARKING': 57, 'WRONG PARKING': 39, 'PARKING IN A MAIN ROAD': 6}",UNCATALOGUED (no official junction tag),['Kamakshipalya']
204,133,94,13.059989629148937,77.57660006606383,"{'WRONG PARKING': 91, 'DEFECTIVE NUMBER PLATE': 7, 'NO PARKING': 3}",UNCATALOGUED (no official junction tag),['Kodigehalli']
205,79,93,12.938494322365592,77.57999152774192,"{'NO PARKING': 67, 'WRONG PARKING': 27, 'DEFECTIVE NUMBER PLATE': 2}","BTP186 - 9th Cross, 4th Main, Jayanagar","['Basavanagudi', 'Wilson Garden']"
206,36,93,12.988147595698928,77.57237331182796,"{'WRONG PARKING': 48, 'NO PARKING': 45, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Sheshadripuram']
207,179,93,12.919652470967739,77.58366237849462,"{'WRONG PARKING': 50, 'NO PARKING': 43}","BTP191 - 40th Cross, 4th Main, Jayanagar",['Jayanagara']
208,149,92,13.099085334782608,77.57706641847824,"{'NO PARKING': 70, 'WRONG PARKING': 22, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Yelahanka']
209,68,91,13.022036204395604,77.63973470769231,"{'WRONG PARKING': 63, 'NO PARKING': 28, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['Banaswadi']
210,596,91,13.00138725714286,77.59539105604395,"{'WRONG PARKING': 83, 'NO PARKING': 9, 'DEFECTIVE NUMBER PLATE': 4}",UNCATALOGUED (no official junction tag),['R.T. Nagar']
211,55,91,12.909654498901098,77.55007447472528,"{'WRONG PARKING': 76, 'PARKING IN A MAIN ROAD': 66, 'NO PARKING': 16}",UNCATALOGUED (no official junction tag),['K.S. Layout']
212,170,91,12.970165911648351,77.61020215329671,"{'NO PARKING': 65, 'WRONG PARKING': 26}",UNCATALOGUED (no official junction tag),['Ashok Nagar']
213,219,90,12.920340549999999,77.64509298,"{'NO PARKING': 78, 'WRONG PARKING': 12, 'DEFECTIVE NUMBER PLATE': 6}",UNCATALOGUED (no official junction tag),['HSR Layout']
214,381,90,12.944722137777777,77.59707693777779,"{'NO PARKING': 63, 'WRONG PARKING': 27, 'DEFECTIVE NUMBER PLATE': 1}","BTP123 - 10th Cross, Wilson Garden","['Adugodi', 'Wilson Garden']"
215,9,89,13.01966392280899,77.53866053842697,"{'WRONG PARKING': 69, 'NO PARKING': 21, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),"['Rajajinagar', 'Yeshwanthpura']"
216,479,89,12.855390481573034,77.66453066202246,"{'WRONG PARKING': 69, 'PARKING IN A MAIN ROAD': 62, 'NO PARKING': 20}",UNCATALOGUED (no official junction tag),['Electronic City']
217,887,88,12.985513629545453,77.74574185113637,"{'PARKING IN A MAIN ROAD': 83, 'NO PARKING': 51, 'WRONG PARKING': 40}",UNCATALOGUED (no official junction tag),['Whitefield']
218,72,86,12.951792690930235,77.5769093661628,"{'WRONG PARKING': 53, 'NO PARKING': 33, 'PARKING IN A MAIN ROAD': 2}",BTP106 - VV Puram College,['V.V.Puram (C.Pet)']
219,412,86,12.904858051162787,77.58567162906978,"{'NO PARKING': 43, 'WRONG PARKING': 43, 'PARKING IN A MAIN ROAD': 19}","BTP221 - 15th Cross, 24th Main, JP Nagar",['J.P. Nagar']
220,187,85,12.94210916,77.62232574000001,"{'NO PARKING': 81, 'PARKING IN A MAIN ROAD': 6, 'WRONG PARKING': 5}",UNCATALOGUED (no official junction tag),"['Adugodi', 'No Police Station']"
221,702,85,12.88184160117647,77.5958773717647,"{'WRONG PARKING': 72, 'NO PARKING': 13, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),"['Hulimavu', 'J.P. Nagar']"
222,415,84,13.037115695238093,77.57461198095238,"{'WRONG PARKING': 80, 'NO PARKING': 4, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['Kodigehalli']
223,627,83,12.979971385542168,77.65229098915664,{'NO PARKING': 83},UNCATALOGUED (no official junction tag),"['Banaswadi', 'Jeevanbheemanagar']"
224,211,82,12.91012694390244,77.68622736707317,"{'NO PARKING': 62, 'WRONG PARKING': 21, 'PARKING IN A MAIN ROAD': 5}",UNCATALOGUED (no official junction tag),['Bellandur']
225,93,82,13.121981153658536,77.61148043536586,"{'WRONG PARKING': 78, 'NO PARKING': 4, 'PARKING ON FOOTPATH': 1}",UNCATALOGUED (no official junction tag),['Yelahanka']
226,310,81,12.991873770370372,77.59443317407408,"{'NO PARKING': 61, 'WRONG PARKING': 20, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['High ground']
227,507,81,12.922551949259258,77.62262931111113,"{'NO PARKING': 75, 'WRONG PARKING': 6, 'PARKING IN A MAIN ROAD': 2}",BTP137 - Madiwala Traffic PS Junction,['Madiwala']
228,371,80,12.9893205475,77.60899587624999,"{'NO PARKING': 63, 'WRONG PARKING': 25, 'PARKING IN A MAIN ROAD': 14}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
229,560,79,13.045615272151897,77.62718403164558,"{'NO PARKING': 79, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['Hennuru']
230,612,79,12.992561027848101,77.61185958227848,"{'NO PARKING': 76, 'DEFECTIVE NUMBER PLATE': 4, 'WRONG PARKING': 3}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
231,640,79,12.986217970886075,77.73364273164556,"{'NO PARKING': 62, 'PARKING ON FOOTPATH': 22, 'WRONG PARKING': 18}",UNCATALOGUED (no official junction tag),['Whitefield']
232,799,79,12.895204570886074,77.67584004050633,"{'WRONG PARKING': 79, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),"['Bellandur', 'Electronic City']"
233,869,79,12.966856659493672,77.65820170253164,"{'WRONG PARKING': 72, 'NO PARKING': 49, 'PARKING ON FOOTPATH': 27}",UNCATALOGUED (no official junction tag),['Jeevanbheemanagar']
234,107,79,12.90631332278481,77.5916839772152,"{'NO PARKING': 69, 'PARKING IN A MAIN ROAD': 12, 'WRONG PARKING': 10}",BTP222 - Delmia Circle,['J.P. Nagar']
235,403,78,12.976127541025642,77.53148822948718,"{'WRONG PARKING': 67, 'NO PARKING': 11, 'PARKING IN A MAIN ROAD': 4}",BTP214 - 5th Main Chamrajpet  Junction,['Vijayanagara']
236,477,76,12.94715464342105,77.59077438421055,"{'NO PARKING': 72, 'WRONG PARKING': 4, 'DEFECTIVE NUMBER PLATE': 1}",BTP122 - Siddapura Junction,['Wilson Garden']
237,304,75,12.968996717333333,77.60193528533333,"{'NO PARKING': 46, 'WRONG PARKING': 31, 'PARKING IN A MAIN ROAD': 20}","BTP099 - Cash Pharmacy, Residency Road","['Ashok Nagar', 'Cubbon Park']"
238,104,75,13.002932965333335,77.52603169999999,"{'NO PARKING': 74, 'PARKING IN A MAIN ROAD': 53, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['Rajajinagar']
239,158,75,12.968002187999998,77.57019314800002,"{'WRONG PARKING': 46, 'NO PARKING': 29, 'PARKING IN A MAIN ROAD': 14}",BTP085 - Briyand Circle,['Chamarajpet']
240,804,74,12.956612402702703,77.70858268783782,"{'WRONG PARKING': 74, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
241,31,74,12.976163475675678,77.59939312567568,"{'WRONG PARKING': 59, 'NO PARKING': 15, 'DEFECTIVE NUMBER PLATE': 3}",BTP042 - Minsk Square Junction (CTO),['Cubbon Park']
242,217,74,12.966877713513513,77.54337716216216,"{'WRONG PARKING': 60, 'NO PARKING': 14}",UNCATALOGUED (no official junction tag),"['Magadi Road', 'Vijayanagara']"
243,46,73,12.956366349726027,77.73214730671233,"{'WRONG PARKING': 55, 'PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC': 37, 'NO PARKING': 24}",UNCATALOGUED (no official junction tag),['Whitefield']
244,51,73,12.979640716986303,77.56429765986302,"{'NO PARKING': 61, 'PARKING ON FOOTPATH': 50, 'WRONG PARKING': 12}",BTP074 - Leprosy Hospital Junction,['Magadi Road']
245,877,73,13.007128969863015,77.62158880821919,"{'NO PARKING': 63, 'WRONG PARKING': 10}",UNCATALOGUED (no official junction tag),"['K.G. Halli', 'Pulikeshinagar(F.Town)']"
246,194,72,12.906124695833334,77.63804863194443,"{'WRONG PARKING': 65, 'NO PARKING': 7, 'DEFECTIVE NUMBER PLATE': 3}",UNCATALOGUED (no official junction tag),['HSR Layout']
247,48,71,12.922346233802816,77.5857765859155,"{'WRONG PARKING': 45, 'NO PARKING': 40, 'PARKING IN A MAIN ROAD': 16}","BTP226 - 33rd Cross, 11th Main, Jayanagar",['Jayanagara']
248,329,71,13.184199311267605,77.68776509295775,"{'WRONG PARKING': 70, 'NO PARKING': 2, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),['Chikkajala']
249,255,71,12.894397406197184,77.65721985056337,"{'NO PARKING': 45, 'WRONG PARKING': 28, 'PARKING IN A MAIN ROAD': 16}",UNCATALOGUED (no official junction tag),"['Bellandur', 'Electronic City', 'HSR Layout']"
250,472,70,13.055019238571427,77.53481523428572,"{'WRONG PARKING': 38, 'NO PARKING': 32, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Jalahalli']
251,498,70,13.099291064714285,77.59742445028571,"{'WRONG PARKING': 39, 'NO PARKING': 31, 'PARKING IN A MAIN ROAD': 6}",UNCATALOGUED (no official junction tag),['Yelahanka']
252,360,70,12.905916508857143,77.54238903142857,"{'WRONG PARKING': 44, 'NO PARKING': 26, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),['K.S. Layout']
253,457,69,12.910610449275362,77.58523763188404,"{'WRONG PARKING': 69, 'DEFECTIVE NUMBER PLATE': 3}","BTP197 - 9th Cross, 24th Main, JP Nagar",['J.P. Nagar']
254,466,69,13.00668176811594,77.75716003623191,"{'NO PARKING': 52, 'WRONG PARKING': 18, 'DEFECTIVE NUMBER PLATE': 4}",UNCATALOGUED (no official junction tag),['Mahadevapura']
255,455,69,13.083549355072462,77.63763254637679,"{'WRONG PARKING': 68, 'PARKING IN A MAIN ROAD': 21, 'DEFECTIVE NUMBER PLATE': 10}",UNCATALOGUED (no official junction tag),['Hennuru']
256,818,69,12.940183542028986,77.61995467391306,"{'WRONG PARKING': 51, 'NO PARKING': 29, 'PARKING IN A MAIN ROAD': 11}",UNCATALOGUED (no official junction tag),['Adugodi']
257,372,68,13.244935341176472,77.71297276764706,"{'NO PARKING': 61, 'WRONG PARKING': 9, 'PARKING IN A MAIN ROAD': 6}",UNCATALOGUED (no official junction tag),['Devanahalli Airport']
258,854,68,12.977901294117647,77.71292130588236,"{'WRONG PARKING': 68, 'PARKING IN A MAIN ROAD': 42, 'NO PARKING': 39}",UNCATALOGUED (no official junction tag),"['HAL Old Airport', 'Mahadevapura']"
259,592,68,12.968312201911763,77.70133226573529,"{'WRONG PARKING': 48, 'PARKING IN A MAIN ROAD': 42, 'NO PARKING': 30}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
260,103,68,13.003531324999997,77.66277133970587,"{'NO PARKING': 68, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),"['Banaswadi', 'K.R. Pura']"
261,278,68,12.875612747058822,77.67085410735295,"{'WRONG PARKING': 65, 'PARKING IN A MAIN ROAD': 15, 'DEFECTIVE NUMBER PLATE': 7}",UNCATALOGUED (no official junction tag),['Electronic City']
262,851,68,13.068816723529414,77.53005135882353,"{'WRONG PARKING': 37, 'NO PARKING': 31, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Jalahalli']
263,685,67,13.06043028358209,77.65208783283582,"{'NO PARKING': 54, 'WRONG PARKING': 13, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),['Hennuru']
264,287,67,12.99322774477612,77.71692756119403,"{'WRONG PARKING': 45, 'NO PARKING': 33, 'PARKING IN A MAIN ROAD': 12}",UNCATALOGUED (no official junction tag),['Mahadevapura']
265,54,66,13.016086186363639,77.54994962575758,"{'WRONG PARKING': 53, 'NO PARKING': 13, 'DEFECTIVE NUMBER PLATE': 6}",UNCATALOGUED (no official junction tag),"['Rajajinagar', 'Yeshwanthpura']"
266,413,66,13.002423236363635,77.61213330454547,"{'WRONG PARKING': 64, 'NO PARKING': 2, 'PARKING IN A MAIN ROAD': 1}",UNCATALOGUED (no official junction tag),"['K.G. Halli', 'Pulikeshinagar(F.Town)']"
267,351,66,12.957875095454545,77.55349097575757,"{'NO PARKING': 55, 'WRONG PARKING': 33, 'PARKING IN A MAIN ROAD': 25}","BTP093 - Toll Gate, Mysore Road","['Byatarayanapura', 'Chamarajpet', 'Magadi Road']"
